Group: aopalliance | Artifact: aopalliance | Version: 1.0
Group: com.google.api-client | Artifact: google-api-client-gson | Version: 2.2.0
Group: com.google.api.grpc | Artifact: gapic-google-cloud-storage-v2 | Version: 2.22.4-alpha
Group: com.google.api.grpc | Artifact: grpc-google-cloud-storage-v2 | Version: 2.22.4-alpha
Group: com.google.api.grpc | Artifact: proto-google-cloud-firestore-v1 | Version: 3.13.0
Group: com.google.api.grpc | Artifact: proto-google-cloud-storage-v2 | Version: 2.22.4-alpha
Group: com.google.api.grpc | Artifact: proto-google-common-protos | Version: 2.20.0
Group: com.google.api.grpc | Artifact: proto-google-iam-v1 | Version: 1.15.0
Group: com.google.apis | Artifact: google-api-services-storage | Version: v1-rev20230301-2.0.0
Group: com.google.auth | Artifact: google-auth-library-credentials | Version: 1.17.0
Group: com.google.auth | Artifact: google-auth-library-oauth2-http | Version: 1.17.0
Group: com.google.auto.value | Artifact: auto-value-annotations | Version: 1.10.1
Group: com.google.cloud | Artifact: google-cloud-core | Version: 2.19.0
Group: com.google.cloud | Artifact: google-cloud-core-grpc | Version: 2.19.0
Group: com.google.cloud | Artifact: google-cloud-core-http | Version: 2.19.0
Group: com.google.cloud | Artifact: google-cloud-firestore | Version: 3.13.0
Group: com.google.cloud | Artifact: google-cloud-storage | Version: 2.22.4
Group: com.google.cloud | Artifact: proto-google-cloud-firestore-bundle-v1 | Version: 3.13.0
Group: com.google.code.findbugs | Artifact: jsr305 | Version: 2.0.1
Group: com.google.code.findbugs | Artifact: jsr305 | Version: 3.0.2
Group: com.google.code.gson | Artifact: gson | Version: 2.10.1
Group: com.google.code.gson | Artifact: gson | Version: 2.13.2
Group: com.google.collections | Artifact: google-collections | Version: 1.0
Group: com.google.errorprone | Artifact: error_prone_annotations | Version: 2.11.0
Group: com.google.errorprone | Artifact: error_prone_annotations | Version: 2.18.0
Group: com.google.errorprone | Artifact: error_prone_annotations | Version: 2.41.0
Group: com.google.firebase | Artifact: firebase-admin | Version: 9.2.0
Group: com.google.guava | Artifact: failureaccess | Version: 1.0.1
Group: com.google.guava | Artifact: guava | Version: 29.0-android
Group: com.google.guava | Artifact: guava | Version: 30.1.1-android
Group: com.google.guava | Artifact: guava | Version: 31.0.1-android
Group: com.google.guava | Artifact: guava | Version: 31.1-android
Group: com.google.guava | Artifact: guava | Version: 31.1-jre
Group: com.google.guava | Artifact: listenablefuture | Version: 9999.0-empty-to-avoid-conflict-with-guava
Group: com.google.http-client | Artifact: google-http-client | Version: 1.42.0
Group: com.google.http-client | Artifact: google-http-client | Version: 1.42.3
Group: com.google.http-client | Artifact: google-http-client | Version: 1.43.1
Group: com.google.http-client | Artifact: google-http-client-apache-v2 | Version: 1.42.3
Group: com.google.http-client | Artifact: google-http-client-apache-v2 | Version: 1.43.1
Group: com.google.http-client | Artifact: google-http-client-appengine | Version: 1.43.1
Group: com.google.http-client | Artifact: google-http-client-gson | Version: 1.42.0
Group: com.google.http-client | Artifact: google-http-client-gson | Version: 1.42.3
Group: com.google.http-client | Artifact: google-http-client-gson | Version: 1.43.1
Group: com.google.http-client | Artifact: google-http-client-jackson2 | Version: 1.43.1
Group: com.google.j2objc | Artifact: j2objc-annotations | Version: 1.3
Group: com.google.oauth-client | Artifact: google-oauth-client | Version: 1.34.1
Group: com.google.protobuf | Artifact: protobuf-java | Version: 3.23.2
Group: com.google.protobuf | Artifact: protobuf-java | Version: 3.23.4
Group: com.google.protobuf | Artifact: protobuf-java-util | Version: 3.23.2
Group: com.google.re2j | Artifact: re2j | Version: 1.6
Group: com.influxdb | Artifact: influxdb-client-core | Version: 6.8.0
Group: com.influxdb | Artifact: influxdb-client-core | Version: 6.9.0
Group: com.influxdb | Artifact: influxdb-client-java | Version: 6.8.0
Group: com.influxdb | Artifact: influxdb-client-java | Version: 6.9.0
Group: com.influxdb | Artifact: influxdb-client-utils | Version: 6.8.0
Group: com.influxdb | Artifact: influxdb-client-utils | Version: 6.9.0
Group: com.jayway.jsonpath | Artifact: json-path | Version: 2.5.0
Group: com.jayway.jsonpath | Artifact: json-path | Version: 2.8.0
Group: com.jayway.jsonpath | Artifact: json-path | Version: 2.9.0
Group: com.notification | Artifact: notification-api | Version: 1.0.0-SNAPSHOT
Group: com.notification | Artifact: notification-common | Version: 1.0.0-SNAPSHOT
Group: com.notification | Artifact: notification-orchestrator | Version: 1.0.0-SNAPSHOT
Group: com.notification | Artifact: notification-worker-email | Version: 1.0.0-SNAPSHOT
Group: com.notification | Artifact: notification-worker-push | Version: 1.0.0-SNAPSHOT
Group: com.notification | Artifact: notification-worker-sms | Version: 1.0.0-SNAPSHOT
Group: com.order | Artifact: order-service | Version: 1.0.0-SNAPSHOT
Group: com.squareup.moshi | Artifact: moshi | Version: 1.8.0
Group: com.squareup.okhttp3 | Artifact: logging-interceptor | Version: 3.14.9
Group: com.squareup.okhttp3 | Artifact: logging-interceptor | Version: 4.10.0
Group: com.squareup.okhttp3 | Artifact: logging-interceptor | Version: 4.12.0
Group: com.squareup.okhttp3 | Artifact: okhttp | Version: 3.14.9
Group: com.squareup.okhttp3 | Artifact: okhttp | Version: 4.12.0
Group: com.squareup.okhttp3 | Artifact: okhttp | Version: 4.9.2
Group: com.squareup.okio | Artifact: okio | Version: 1.17.2
Group: com.squareup.okio | Artifact: okio | Version: 2.8.0
Group: com.squareup.okio | Artifact: okio | Version: 3.3.0
Group: com.squareup.okio | Artifact: okio | Version: 3.6.0
Group: com.squareup.okio | Artifact: okio-jvm | Version: 3.3.0
Group: com.squareup.okio | Artifact: okio-jvm | Version: 3.6.0
Group: com.squareup.retrofit2 | Artifact: adapter-rxjava3 | Version: 2.9.0
Group: com.squareup.retrofit2 | Artifact: converter-gson | Version: 2.9.0
Group: com.squareup.retrofit2 | Artifact: converter-moshi | Version: 2.9.0
Group: com.squareup.retrofit2 | Artifact: converter-scalars | Version: 2.9.0
Group: com.squareup.retrofit2 | Artifact: retrofit | Version: 2.9.0
Group: com.sun.istack | Artifact: istack-commons-runtime | Version: 4.1.2
Group: com.thoughtworks.qdox | Artifact: qdox | Version: 2.0.3
Group: com.thoughtworks.qdox | Artifact: qdox | Version: 2.2.0
Group: com.twilio.sdk | Artifact: twilio | Version: 9.14.1
Group: com.vaadin.external.google | Artifact: android-json | Version: 0.0.20131108.vaadin1
Group: com.zaxxer | Artifact: HikariCP | Version: 5.0.1
Group: commons-cli | Artifact: commons-cli | Version: 1.0
Group: commons-codec | Artifact: commons-codec | Version: 1.16.1
Group: commons-codec | Artifact: commons-codec | Version: 1.17.1
Group: commons-codec | Artifact: commons-codec | Version: 1.18.0
Group: commons-io | Artifact: commons-io | Version: 2.11.0
Group: commons-io | Artifact: commons-io | Version: 2.12.0
Group: commons-io | Artifact: commons-io | Version: 2.13.0
Group: commons-io | Artifact: commons-io | Version: 2.16.1
Group: commons-io | Artifact: commons-io | Version: 2.5
Group: commons-io | Artifact: commons-io | Version: 2.6
Group: commons-io | Artifact: commons-io | Version: 2.7
Group: commons-lang | Artifact: commons-lang | Version: 2.1
Group: commons-logging | Artifact: commons-logging | Version: 1.2
Group: commons-logging | Artifact: commons-logging-api | Version: 1.1
Group: io.github.binance | Artifact: binance-connector-java | Version: 3.4.1
Group: io.grpc | Artifact: grpc-alts | Version: 1.55.1
Group: io.grpc | Artifact: grpc-api | Version: 1.55.1
Group: io.grpc | Artifact: grpc-auth | Version: 1.55.1
Group: io.grpc | Artifact: grpc-context | Version: 1.27.2
Group: io.grpc | Artifact: grpc-context | Version: 1.55.1
Group: io.grpc | Artifact: grpc-core | Version: 1.55.1
Group: io.grpc | Artifact: grpc-googleapis | Version: 1.55.1
Group: io.grpc | Artifact: grpc-grpclb | Version: 1.55.1
Group: io.grpc | Artifact: grpc-netty-shaded | Version: 1.55.1
Group: io.grpc | Artifact: grpc-protobuf | Version: 1.55.1
Group: io.grpc | Artifact: grpc-protobuf-lite | Version: 1.55.1
Group: io.grpc | Artifact: grpc-rls | Version: 1.55.1
Group: io.grpc | Artifact: grpc-services | Version: 1.55.1
Group: io.grpc | Artifact: grpc-stub | Version: 1.55.1
Group: io.grpc | Artifact: grpc-xds | Version: 1.55.1
Group: io.jsonwebtoken | Artifact: jjwt-api | Version: 0.11.2
Group: io.jsonwebtoken | Artifact: jjwt-api | Version: 0.12.3
Group: io.jsonwebtoken | Artifact: jjwt-impl | Version: 0.11.2
Group: io.jsonwebtoken | Artifact: jjwt-impl | Version: 0.12.3
Group: io.jsonwebtoken | Artifact: jjwt-jackson | Version: 0.11.2
Group: io.jsonwebtoken | Artifact: jjwt-jackson | Version: 0.12.3
Group: io.lettuce | Artifact: lettuce-core | Version: 6.3.1.RELEASE
Group: io.lettuce | Artifact: lettuce-core | Version: 6.3.2.RELEASE
Group: io.micrometer | Artifact: context-propagation | Version: 1.1.0
Group: io.micrometer | Artifact: micrometer-commons | Version: 1.11.2
Group: io.micrometer | Artifact: micrometer-commons | Version: 1.12.0
Group: io.micrometer | Artifact: micrometer-commons | Version: 1.12.2
Group: io.micrometer | Artifact: micrometer-commons | Version: 1.12.4
Group: io.micrometer | Artifact: micrometer-commons | Version: 1.14.14
Group: io.micrometer | Artifact: micrometer-commons | Version: 1.15.7
Group: io.micrometer | Artifact: micrometer-core | Version: 1.11.5
Group: io.micrometer | Artifact: micrometer-core | Version: 1.12.2
Group: io.micrometer | Artifact: micrometer-core | Version: 1.12.4
Group: io.micrometer | Artifact: micrometer-jakarta9 | Version: 1.12.2
Group: io.micrometer | Artifact: micrometer-jakarta9 | Version: 1.12.4
Group: io.micrometer | Artifact: micrometer-observation | Version: 1.11.2
Group: io.micrometer | Artifact: micrometer-observation | Version: 1.12.0
Group: io.micrometer | Artifact: micrometer-observation | Version: 1.12.2
Group: io.micrometer | Artifact: micrometer-observation | Version: 1.12.4
Group: io.micrometer | Artifact: micrometer-observation | Version: 1.14.14
Group: io.micrometer | Artifact: micrometer-observation | Version: 1.15.7
Group: io.micrometer | Artifact: micrometer-registry-influx | Version: 1.12.2
Group: io.micrometer | Artifact: micrometer-registry-otlp | Version: 1.12.2
Group: io.micrometer | Artifact: micrometer-registry-prometheus | Version: 1.12.2
Group: io.micrometer | Artifact: micrometer-registry-prometheus | Version: 1.12.4
Group: io.micrometer | Artifact: micrometer-tracing | Version: 1.2.2
Group: io.micrometer | Artifact: micrometer-tracing-bridge-otel | Version: 1.2.2
Group: io.netty | Artifact: netty-buffer | Version: 4.1.105.Final
Group: io.netty | Artifact: netty-buffer | Version: 4.1.107.Final
Group: io.netty | Artifact: netty-codec | Version: 4.1.105.Final
Group: io.netty | Artifact: netty-codec | Version: 4.1.107.Final
Group: io.netty | Artifact: netty-codec-dns | Version: 4.1.105.Final
Group: io.netty | Artifact: netty-codec-http | Version: 4.1.107.Final
Group: io.netty | Artifact: netty-common | Version: 4.1.105.Final
Group: io.netty | Artifact: netty-common | Version: 4.1.107.Final
Group: io.netty | Artifact: netty-handler | Version: 4.1.105.Final
Group: io.netty | Artifact: netty-handler | Version: 4.1.107.Final
Group: io.netty | Artifact: netty-resolver | Version: 4.1.105.Final
Group: io.netty | Artifact: netty-resolver | Version: 4.1.107.Final
Group: io.netty | Artifact: netty-resolver-dns | Version: 4.1.105.Final
Group: io.netty | Artifact: netty-transport | Version: 4.1.105.Final
Group: io.netty | Artifact: netty-transport | Version: 4.1.107.Final
Group: io.netty | Artifact: netty-transport-native-unix-common | Version: 4.1.105.Final
Group: io.netty | Artifact: netty-transport-native-unix-common | Version: 4.1.107.Final
Group: io.opencensus | Artifact: opencensus-api | Version: 0.31.1
Group: io.opencensus | Artifact: opencensus-contrib-grpc-util | Version: 0.31.1
Group: io.opencensus | Artifact: opencensus-contrib-http-util | Version: 0.31.1
Group: io.opencensus | Artifact: opencensus-proto | Version: 0.2.0
Group: io.opentelemetry | Artifact: opentelemetry-api | Version: 1.31.0
Group: io.opentelemetry | Artifact: opentelemetry-api-events | Version: 1.31.0-alpha
Group: io.opentelemetry | Artifact: opentelemetry-context | Version: 1.31.0
Group: io.opentelemetry | Artifact: opentelemetry-exporter-common | Version: 1.31.0
Group: io.opentelemetry | Artifact: opentelemetry-exporter-otlp | Version: 1.31.0
Group: io.opentelemetry | Artifact: opentelemetry-exporter-otlp-common | Version: 1.31.0
Group: io.opentelemetry | Artifact: opentelemetry-exporter-sender-okhttp | Version: 1.31.0
Group: io.opentelemetry | Artifact: opentelemetry-extension-incubator | Version: 1.31.0-alpha
Group: io.opentelemetry | Artifact: opentelemetry-extension-trace-propagators | Version: 1.31.0
Group: io.opentelemetry | Artifact: opentelemetry-sdk | Version: 1.31.0
Group: io.opentelemetry | Artifact: opentelemetry-sdk-common | Version: 1.31.0
Group: io.opentelemetry | Artifact: opentelemetry-sdk-extension-autoconfigure-spi | Version: 1.31.0
Group: io.opentelemetry | Artifact: opentelemetry-sdk-logs | Version: 1.31.0
Group: io.opentelemetry | Artifact: opentelemetry-sdk-metrics | Version: 1.31.0
Group: io.opentelemetry | Artifact: opentelemetry-sdk-trace | Version: 1.31.0
Group: io.opentelemetry.instrumentation | Artifact: opentelemetry-instrumentation-api | Version: 1.31.0
Group: io.opentelemetry.instrumentation | Artifact: opentelemetry-instrumentation-api-semconv | Version: 1.31.0-alpha
Group: io.opentelemetry.proto | Artifact: opentelemetry-proto | Version: 1.0.0-alpha
Group: io.opentelemetry.semconv | Artifact: opentelemetry-semconv | Version: 1.21.0-alpha
Group: io.perfmark | Artifact: perfmark-api | Version: 0.26.0
Group: io.projectreactor | Artifact: reactor-core | Version: 3.6.2
Group: io.projectreactor | Artifact: reactor-core | Version: 3.6.4
Group: io.prometheus | Artifact: simpleclient | Version: 0.16.0
Group: io.prometheus | Artifact: simpleclient_common | Version: 0.16.0
Group: io.prometheus | Artifact: simpleclient_tracer_common | Version: 0.16.0
Group: io.prometheus | Artifact: simpleclient_tracer_otel | Version: 0.16.0
Group: io.prometheus | Artifact: simpleclient_tracer_otel_agent | Version: 0.16.0
Group: io.reactivex.rxjava3 | Artifact: rxjava | Version: 3.1.12
Group: io.reactivex.rxjava3 | Artifact: rxjava | Version: 3.1.8
Group: io.smallrye | Artifact: jandex | Version: 3.1.2
Group: io.swagger.core.v3 | Artifact: swagger-annotations-jakarta | Version: 2.2.19
